id;Код подразделения;type;Заданий без нарушений срока;более 30 дней средняя просрочка;более 30 дней число просрочек;до 30 дней средняя просрочка;до 30 дней число просрочек;до 7 дней средняя просрочка;до 7 дней число просрочек;Образование;Специальность;Табельный номер руководителя;Обучений количество;Будни FromUser Число звонков;Будни FromUser Время звонков;Будни ToUser Число звонков;Будни ToUser Время звонков;Выходные дни FromUser Число звонков;Выходные дни FromUser Время звонков;Выходные дни ToUser  Число звонков;Выходные дни ToUser Время звонков ;Будни Нет опоздания;Будни Нет опоздания Время опозданий;Будни Опоздание;Будни Опоздание Время опозданий;Выходные дни Нет опоздания;Выходные дни Нет опоздания Время опозданий;Выходные дни Опоздание;Выходные дни Опоздание Время опозданий;Будни Дни Всего;Будни Среднее время;Выходные дни Всего;Выходные дни Среднее время;Будни Компьютер всего;Будни Компьютер среднее;Выходные Компьютер всего;Выходные Компьютер среднее;Будни Монитор количество;Будни Монитор активность;Будни Монитор общее;Выходные Монитор количество;Выходные Монитор активность;Выходные Монитор общее
ОРГ1-02050;ОРГ1;2;1;0;0;0;0;0;0;Неполное высшее образование, Высшее образование - бакалавриат;Технологические машины и оборудование, Технологические машины и оборудование;не указано;2;370;18.5538888888889;176;8.22444444444444;0;0;0;0;109;0.0428805555555556;5;17.32699;0;0;0;0;31;8.37688172043011;0;0;113;24445.8053097345;0;0;1166;2191.90137221269;7987.37735849057;34;0;86203.1470588235
ОРГ1-02783;ОРГ1;2;256;45;7;19.08;25;3.83333333333333;18;Высшее образование;Автоматизация технологических процессов и производств;ОРГ1-01974;1;1245;24.1363888888889;657;25.7983333333333;0;0;0;0;122;0.0918277777777778;4;11.9919047222222;0;0;3;30.5330361111111;null;null;null;null;125;29276.392;3;2800.33333333333;1450;2311.16482758621;6031.78137931034;49;140.918367346939;55360.0408163265
ОРГ2-06173;ОРГ2;0;null;null;null;null;null;null;null;Высшее образование;Управление качеством;ОРГ2-01170;1;null;null;null;null;null;null;null;null;129;0.533601666666667;21;90.8385338888889;17;0.0267341666666667;1;0.231570277777778;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ2-05359;ОРГ2;2;null;null;null;null;null;null;null;Среднее профессиональное образование;Технолог-сварщик;ОРГ2-09100;1;null;null;null;null;null;null;null;null;110;0.106453611111111;6;26.7250305555556;9;0;0;0;null;null;null;null;116;17572.4827586207;9;11504.4444444444;1113;1405.93081761006;2003.08265947889;62;1255.58064516129;1849.06451612903
ОРГ1-00803;ОРГ1;2;141;484;4;0;0;2.66666666666667;15;Высшее образование;Журналистика;не указано;1;6;0.0138888888888889;1;0.0325;0;0;0;0;1;0;33;135.770319166667;1;0;2;13.8434380555556;null;null;null;null;33;2164.75757575758;3;2900.66666666667;168;165.946428571429;198.267857142857;21;204.095238095238;265.285714285714
ОРГ1-01546;ОРГ1;0;61;136.636363636364;33;16.5;6;6;1;Высшее образование;Промышленное и гражданское строительство;ОРГ1-00483;1;null;null;null;null;null;null;null;null;59;0.190956388888889;22;57.69146;5;0;0;0;null;null;null;null;81;9447.82716049383;5;1380.8;570;1086.55789473684;5278.07719298246;34;91.5;41186.3235294118
ОРГ1-00254;ОРГ1;2;85;0;0;0;0;2.66666666666667;3;Высшее образование;Автоматизированные системы обработки информации и управления;ОРГ1-00807;1;599;26.5230555555555;363;16.7288888888889;3;0.132777777777778;1;0.0663888888888889;120;0.0107286111111111;3;26.0820047222222;1;0;0;0;null;null;null;null;123;8778.75609756098;1;601;1163;820.251934651763;4753.26655202064;6;70;3960.66666666667
ОРГ1-00741;ОРГ1;2;139;251;2;11.5;8;3.8;25;Высшее образование;Машины и аппараты химических производств и предприятий строительных материалов;не указано;1;2316;100.459166666667;1235;46.0652777777778;7;1.00305555555556;4;0.146111111111111;119;0.163836944444444;24;235.506841388889;5;0;6;42.3261063888889;32;8.33229166666666;0;0;142;23361.3309859155;11;5105.45454545455;1664;1875.60276442308;6074.59375;103;506.330097087379;42900.4757281553
ОРГ2-06468;ОРГ2;2;null;null;null;null;null;null;null;Высшее образование - специалитет, магистратура;Управление персоналом;ОРГ2-09100;1;null;null;null;null;null;null;null;null;185;1.25521583333333;110;270.823568055556;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ2-04027;ОРГ2;0;null;null;null;null;null;null;null;Высшее образование - бакалавриат;Физика;не указано;1;null;null;null;null;null;null;null;null;634;0.878470277777778;107;398.628947777778;105;0;9;24.2743997222222;null;null;null;null;732;23802.2144808743;114;24415.3157894737;6158;2286.25267944138;4153.50129912309;957;2354.23406478579;4315.0407523511
ОРГ1-01692;ОРГ1;2;138;172.571428571429;70;17.7142857142857;35;2.4375;16;Высшее образование - специалитет, магистратура;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;ОРГ1-01391;1;1757;73.9561111111111;1429;49.8955555555556;0;0;0;0;127;1.8528775;7;6.79278166666667;0;0;3;13.5991686111111;21;9.57857142857143;0;0;133;26776.8195488722;3;6801.33333333333;1697;1799.40659988214;2458.27283441367;20;899.55;17866.55
ОРГ1-02857;ОРГ1;2;1;35;1;0;0;1;1;Высшее образование;Водоснабжение и канализация;ОРГ1-01285;1;null;null;null;null;null;null;null;null;70;0.682431388888889;32;78.0079336111111;10;0.307605555555556;7;9.56566388888889;null;null;null;null;101;8774.71287128713;17;8524.23529411765;767;912.425032594524;1647.89439374185;109;1020.54128440367;1681.14678899083
ОРГ1-01138;ОРГ1;0;3684;50;1;17.8;10;2.15151515151515;33;Высшее образование, Повышение квалификации;Финансы и кредит, не указано;ОРГ1-01138;2;6352;224.498611111111;4595;202.924166666667;0;0;0;0;129;5.79606138888888;203;794.411432777778;2;0;28;169.856053055556;11;9.33787878787879;0;0;330;17460.8333333333;30;4662.5;2499;1811.96158463385;3031.32533013205;167;736.293413173653;11591.0778443114
